Round Robin Summary
Battles simulated: 820
Average game length: 14.0720
Average swaps per game: 10.0646

Notes
- Winrates are appearance-based across team sides.
- Archetype refers to the AI team name/loadout.
- Last standing rate counts only wins where a single adventurer survived.
- Average game length per class is averaged across adventurer appearances of that class.

Class Winrate
name    | appearances | wins | losses | winrate
--------+-------------+------+--------+--------
Fighter | 656         | 401  | 255    | 0.6113 
Cleric  | 615         | 364  | 251    | 0.5919 
Mage    | 574         | 302  | 272    | 0.5261 
Rogue   | 574         | 282  | 292    | 0.4913 
Noble   | 697         | 334  | 363    | 0.4792 
Warlock | 533         | 244  | 289    | 0.4578 
Warden  | 574         | 238  | 336    | 0.4146 
Ranger  | 697         | 280  | 417    | 0.4017 

Adventurer Winrate
name                      | appearances | wins | losses | winrate
--------------------------+-------------+------+--------+--------
Matchstick Liesl          | 246         | 172  | 74     | 0.6992 
Witch-Hunter Gretel       | 205         | 136  | 69     | 0.6634 
Risa Redcloak             | 205         | 131  | 74     | 0.6390 
Witch of the Woods        | 205         | 124  | 81     | 0.6049 
Rapunzel the Golden       | 246         | 140  | 106    | 0.5691 
Hunold the Piper          | 205         | 114  | 91     | 0.5561 
Little Jack               | 246         | 134  | 112    | 0.5447 
Green Knight              | 164         | 89   | 75     | 0.5427 
Aldric, Lost Lamb         | 205         | 107  | 98     | 0.5220 
Snowkissed Aurora         | 164         | 85   | 79     | 0.5183 
Rumpelstiltskin           | 164         | 84   | 80     | 0.5122 
March Hare                | 205         | 99   | 106    | 0.4829 
Ashen Ella                | 164         | 79   | 85     | 0.4817 
Lucky Constantine         | 164         | 78   | 86     | 0.4756 
Sea Wench Asha            | 205         | 92   | 113    | 0.4488 
Reynard, Lupine Trickster | 205         | 90   | 115    | 0.4390 
Porcus III                | 164         | 72   | 92     | 0.4390 
Frederic the Beastslayer  | 205         | 89   | 116    | 0.4341 
Briar Rose                | 246         | 106  | 140    | 0.4309 
Lady of Reflections       | 205         | 86   | 119    | 0.4195 
Pinocchio, Cursed Puppet  | 164         | 68   | 96     | 0.4146 
Sir Roland                | 205         | 80   | 125    | 0.3902 
Prince Charming           | 287         | 105  | 182    | 0.3659 
Robin, Hooded Avenger     | 246         | 85   | 161    | 0.3455 

Signature Ability Winrate
name               | appearances | wins | losses | winrate
-------------------+-------------+------+--------+--------
Crimson Fury       | 41          | 34   | 7      | 0.8293 
Cauterize          | 123         | 93   | 30     | 0.7561 
Crawling Abode     | 82          | 61   | 21     | 0.7439 
Hot Mitts          | 82          | 61   | 21     | 0.7439 
Flame of Renewal   | 82          | 60   | 22     | 0.7317 
Haunting Rhythm    | 82          | 58   | 24     | 0.7073 
Crowstorm          | 82          | 57   | 25     | 0.6951 
Dictate of Nature  | 41          | 28   | 13     | 0.6829 
Lower Guard        | 82          | 55   | 27     | 0.6707 
Shove Over         | 82          | 54   | 28     | 0.6585 
Blood Hunt         | 82          | 53   | 29     | 0.6463 
Ivory Tower        | 82          | 53   | 29     | 0.6463 
Name the Price     | 82          | 51   | 31     | 0.6220 
Hypnotic Aura      | 41          | 25   | 16     | 0.6098 
Natural Order      | 41          | 25   | 16     | 0.6098 
Belligerence       | 82          | 48   | 34     | 0.5854 
Hero's Bargain     | 82          | 48   | 34     | 0.5854 
Cauldron Bubble    | 41          | 24   | 17     | 0.5854 
Feline Gambit      | 41          | 24   | 17     | 0.5854 
Toxin Purge        | 82          | 47   | 35     | 0.5732 
Skyfall            | 123         | 69   | 54     | 0.5610 
Benefactor         | 82          | 46   | 36     | 0.5610 
Sturdy Home        | 82          | 46   | 36     | 0.5610 
Wolf's Pursuit     | 82          | 44   | 38     | 0.5366 
Nine Lives         | 41          | 22   | 19     | 0.5366 
Postmortem Passage | 41          | 22   | 19     | 0.5366 
Garden of Thorns   | 82          | 42   | 40     | 0.5122 
Tempus Fugit       | 82          | 42   | 40     | 0.5122 
Crumb Trail        | 41          | 21   | 20     | 0.5122 
Faustian Bargain   | 41          | 21   | 20     | 0.5122 
Knight's Challenge | 41          | 21   | 20     | 0.5122 
Size Up            | 41          | 21   | 20     | 0.5122 
Sanctuary          | 82          | 41   | 41     | 0.5000 
Abyssal Call       | 82          | 40   | 42     | 0.4878 
Nebulous Ides      | 41          | 20   | 21     | 0.4878 
Porcine Honor      | 41          | 20   | 21     | 0.4878 
Repentance         | 41          | 20   | 21     | 0.4878 
Toil and Trouble   | 82          | 39   | 43     | 0.4756 
Cinder Blessing    | 41          | 19   | 22     | 0.4634 
Wooden Wallop      | 41          | 19   | 22     | 0.4634 
Gallant Charge     | 82          | 37   | 45     | 0.4512 
Hero's Charge      | 82          | 37   | 45     | 0.4512 
Rabbit Hole        | 82          | 37   | 45     | 0.4512 
Feign Weakness     | 82          | 35   | 47     | 0.4268 
Lake's Gift        | 82          | 35   | 47     | 0.4268 
On the Hunt        | 82          | 35   | 47     | 0.4268 
Thorn Snare        | 82          | 35   | 47     | 0.4268 
Cutpurse           | 82          | 34   | 48     | 0.4146 
Jovial Shot        | 41          | 17   | 24     | 0.4146 
Magic Growth       | 41          | 17   | 24     | 0.4146 
Straw to Gold      | 41          | 17   | 24     | 0.4146 
Become Real        | 82          | 33   | 49     | 0.4024 
Bring Down         | 82          | 33   | 49     | 0.4024 
Condescend         | 82          | 33   | 49     | 0.4024 
Banner of Command  | 82          | 32   | 50     | 0.3902 
Golden Snare       | 82          | 32   | 50     | 0.3902 
Subterfuge         | 82          | 32   | 50     | 0.3902 
Awaited Blow       | 41          | 16   | 25     | 0.3902 
Cut the Strings    | 41          | 16   | 25     | 0.3902 
Midnight Dour      | 41          | 16   | 25     | 0.3902 
Spinning Wheel     | 41          | 16   | 25     | 0.3902 
Dying Dance        | 82          | 31   | 51     | 0.3780 
Misappropriate     | 82          | 31   | 51     | 0.3780 
Creeping Doubt     | 82          | 29   | 53     | 0.3537 
Drown in the Loch  | 82          | 29   | 53     | 0.3537 
Spread Fortune     | 82          | 29   | 53     | 0.3537 
Shimmering Valor   | 82          | 27   | 55     | 0.3293 
Chosen One         | 123         | 35   | 88     | 0.2846 
Snipe Shot         | 82          | 23   | 59     | 0.2805 
Birdsong           | 41          | 10   | 31     | 0.2439 
Fae Blessing       | 41          | 6    | 35     | 0.1463 
Not By The Hair    | 41          | 6    | 35     | 0.1463 

Basic Ability Winrate
name           | appearances | wins | losses | winrate
---------------+-------------+------+--------+--------
Smite          | 164         | 113  | 51     | 0.6890 
Rend           | 123         | 80   | 43     | 0.6504 
Strike         | 451         | 285  | 166    | 0.6319 
Fleetfooted    | 205         | 126  | 79     | 0.6146 
Intimidate     | 287         | 176  | 111    | 0.6132 
Bless          | 287         | 175  | 112    | 0.6098 
Heal           | 533         | 314  | 219    | 0.5891 
Cleave         | 246         | 144  | 102    | 0.5854 
Fire Blast     | 246         | 144  | 102    | 0.5854 
Feint          | 205         | 117  | 88     | 0.5707 
Protection     | 123         | 69   | 54     | 0.5610 
Freezing Gale  | 82          | 45   | 37     | 0.5488 
Thunder Call   | 328         | 178  | 150    | 0.5427 
Edict          | 287         | 151  | 136    | 0.5261 
Decree         | 451         | 235  | 216    | 0.5211 
Blood Pact     | 287         | 148  | 139    | 0.5157 
Breakthrough   | 246         | 121  | 125    | 0.4919 
Post Bounty    | 369         | 180  | 189    | 0.4878 
Riposte        | 123         | 60   | 63     | 0.4878 
Armored        | 205         | 98   | 107    | 0.4780 
Soul Gaze      | 205         | 98   | 107    | 0.4780 
Arcane Wave    | 246         | 116  | 130    | 0.4715 
Medic          | 123         | 57   | 66     | 0.4634 
Command        | 410         | 185  | 225    | 0.4512 
Sneak Attack   | 246         | 111  | 135    | 0.4512 
Dark Grasp     | 328         | 146  | 182    | 0.4451 
Trapping Blow  | 246         | 105  | 141    | 0.4268 
Sucker Punch   | 205         | 87   | 118    | 0.4244 
Shield Bash    | 369         | 154  | 215    | 0.4173 
Hunter's Mark  | 451         | 187  | 264    | 0.4146 
Stalwart       | 246         | 101  | 145    | 0.4106 
Summons        | 246         | 97   | 149    | 0.3943 
Hawkshot       | 369         | 145  | 224    | 0.3930 
Cursed Armor   | 205         | 80   | 125    | 0.3902 
Void Step      | 41          | 16   | 25     | 0.3902 
Condemn        | 246         | 94   | 152    | 0.3821 
Hunter's Badge | 205         | 77   | 128    | 0.3756 
Volley         | 123         | 46   | 77     | 0.3740 
Slam           | 82          | 29   | 53     | 0.3537 

Twist Ability Winrate
name                    | appearances | wins | losses | winrate
------------------------+-------------+------+--------+--------
Cleansing Inferno       | 246         | 172  | 74     | 0.6992 
Into the Oven           | 205         | 136  | 69     | 0.6634 
Grandmother's Vengeance | 205         | 131  | 74     | 0.6390 
